lambda0,alpha,fitness_mean,fitness_std,fitness,base_objective_mean,base_objective_std,base_objective,penalty_mean,penalty_std,penalty,search_fitness_mean,search_fitness_std,search_fitness,energy_mean,energy_std,energy,delay_mean,delay_std,delay,aoi_mean,aoi_std,aoi,qoe_mean,qoe_std,qoe,fairness_mean,fairness_std,fairness,csr_mean,csr_std,csr,hard_feasible_mean,hard_feasible_std,hard_feasible,capacity_utilisation_mean_mean,capacity_utilisation_mean_std,capacity_utilisation_mean,capacity_utilisation_max_mean,capacity_utilisation_max_std,capacity_utilisation_max,assignment_unique_mean,assignment_unique_std,assignment_unique,runtime_mean,runtime_std,runtime,nfe_mean,nfe_std,nfe,pre_refinement_fitness_mean,pre_refinement_fitness_std,pre_refinement_fitness,local_refinement_gain_mean,local_refinement_gain_std,local_refinement_gain
0.5,1.0,0.9469093839711614,0.11937171268970394,0.946909 +/- 0.119372,0.666076050637828,0.06502919824024768,0.666076 +/- 0.065029,0.2808333333333333,0.05652577142551035,0.280833 +/- 0.056526,1.087326050637828,0.1471610767161681,1.087326 +/- 0.147161,94.2938005644391,22.55927938764906,94.293801 +/- 22.559279,1.8506874851564623,0.20957104816203714,1.850687 +/- 0.209571,2.173955512750062,0.22098072298684715,2.173956 +/- 0.220981,0.44650281744278925,0.03245212627130064,0.446503 +/- 0.032452,0.924026876577841,0.019522055337327888,0.924027 +/- 0.019522,0.7191666666666666,0.05652577142551035,0.719167 +/- 0.056526,1.0,0.0,1.000000 +/- 0.000000,0.8210028655592421,0.04304835329219021,0.821003 +/- 0.043048,1.0000000000000002,1.3675322253524408e-16,1.000000 +/- 0.000000,1.0,0.0,1.000000 +/- 0.000000,6.660728280499999,0.11322239544353031,6.660728 +/- 0.113222,10232.0,0.0,10232.000000 +/- 0.000000,0.9926643810303667,0.12016924723336486,0.992664 +/- 0.120169,0.045754997059205486,0.03658701991493773,0.045755 +/- 0.036587
0.5,2.0,0.9476264039739486,0.11832897236909178,0.947626 +/- 0.118329,0.6667930706406152,0.06542416982871306,0.666793 +/- 0.065424,0.2808333333333333,0.055153477952602406,0.280833 +/- 0.055153,1.930543070640615,0.3097365819824499,1.930543 +/- 0.309737,94.52436082659644,21.75007362838274,94.524361 +/- 21.750074,1.8518152955394414,0.20566069432213774,1.851815 +/- 0.205661,2.1750833231330415,0.21653054165512398,2.175083 +/- 0.216531,0.44698664245969477,0.032299860629941536,0.446987 +/- 0.032300,0.924222500683093,0.019769248617609654,0.924223 +/- 0.019769,0.7191666666666667,0.0551534779526024,0.719167 +/- 0.055153,1.0,0.0,1.000000 +/- 0.000000,0.8267474656785568,0.038559305282880485,0.826747 +/- 0.038559,1.0000000000000002,1.0909133250980695e-16,1.000000 +/- 0.000000,1.0,0.0,1.000000 +/- 0.000000,6.606447770800006,0.1062095887840868,6.606448 +/- 0.106210,10232.0,0.0,10232.000000 +/- 0.000000,0.9968325651529643,0.1223955886098086,0.996833 +/- 0.122396,0.04920616117901581,0.041527542279439236,0.049206 +/- 0.041528
0.5,3.0,0.9481608394321906,0.11896011489624478,0.948161 +/- 0.118960,0.667883061654413,0.06698617143745009,0.667883 +/- 0.066986,0.2802777777777778,0.05455687624717254,0.280278 +/- 0.054557,4.451633061654413,0.7982683959369183,4.451633 +/- 0.798268,94.5195016753142,22.639540369459024,94.519502 +/- 22.639540,1.852910196633634,0.2138706929700765,1.852910 +/- 0.213871,2.1761782242272343,0.22410336136575593,2.176178 +/- 0.224103,0.44666649381153223,0.032589014807446144,0.446666 +/- 0.032589,0.924596053387824,0.019945387575674444,0.924596 +/- 0.019945,0.7197222222222223,0.05455687624717254,0.719722 +/- 0.054557,1.0,0.0,1.000000 +/- 0.000000,0.8247025596007125,0.044517244856379104,0.824703 +/- 0.044517,1.0000000000000002,1.3675322253524408e-16,1.000000 +/- 0.000000,1.0,0.0,1.000000 +/- 0.000000,6.519267776299989,0.10889700222175805,6.519268 +/- 0.108897,10232.0,0.0,10232.000000 +/- 0.000000,0.9947370456131472,0.12392089910481995,0.994737 +/- 0.123921,0.04657620618095643,0.03604063466301271,0.046576 +/- 0.036041
1.0,1.0,0.9490717546522884,0.11870691162190172,0.949072 +/- 0.118707,0.6679606435411771,0.06696854726423573,0.667961 +/- 0.066969,0.28111111111111103,0.05369192190311373,0.281111 +/- 0.053692,1.5112939768745102,0.22494744902080124,1.511294 +/- 0.224947,94.54092623876544,21.639523938159527,94.540926 +/- 21.639524,1.8544367085409588,0.2122334166945431,1.854437 +/- 0.212233,2.1777047361345585,0.22118488996911395,2.177705 +/- 0.221185,0.446992580236773,0.03264642462282651,0.446993 +/- 0.032646,0.9243619456463222,0.02011837361202985,0.924362 +/- 0.020118,0.7188888888888888,0.05369192190311373,0.718889 +/- 0.053692,1.0,0.0,1.000000 +/- 0.000000,0.8222073947058576,0.039145300800192205,0.822207 +/- 0.039145,1.0000000000000002,1.3675322253524408e-16,1.000000 +/- 0.000000,1.0,0.0,1.000000 +/- 0.000000,6.521160518066669,0.08379373362105544,6.521161 +/- 0.083794,10232.0,0.0,10232.000000 +/- 0.000000,1.001438834275856,0.12161901979653879,1.001439 +/- 0.121619,0.05236707962356754,0.05217644490412255,0.052367 +/- 0.052176
1.0,2.0,0.9470392278303288,0.12019325475607966,0.947039 +/- 0.120193,0.6675947833858843,0.06743497916856628,0.667595 +/- 0.067435,0.2794444444444444,0.05469934076338502,0.279444 +/- 0.054699,3.1825947833858845,0.5559345666823937,3.182595 +/- 0.555935,94.58022479857776,24.036652917213107,94.580225 +/- 24.036653,1.8477734882114811,0.21772190769705946,1.847773 +/- 0.217722,2.1710415158050806,0.22634371181429777,2.171042 +/- 0.226344,0.4468303583653314,0.03218008949819209,0.446830 +/- 0.032180,0.9244036198733895,0.020454900294033164,0.924404 +/- 0.020455,0.7205555555555556,0.05469934076338502,0.720556 +/- 0.054699,1.0,0.0,1.000000 +/- 0.000000,0.8189427712389218,0.04341340208030516,0.818943 +/- 0.043413,1.0,1.8439800764933338e-16,1.000000 +/- 0.000000,1.0,0.0,1.000000 +/- 0.000000,6.514047869433353,0.11257735822004315,6.514048 +/- 0.112577,10232.0,0.0,10232.000000 +/- 0.000000,0.9947086019396798,0.12081151699613002,0.994709 +/- 0.120812,0.047669374109350834,0.03284368291383761,0.047669 +/- 0.032844
1.0,3.0,0.9482234266649263,0.12050269631639021,0.948223 +/- 0.120503,0.6687789822204818,0.06846195849157831,0.668779 +/- 0.068462,0.27944444444444444,0.054436038134355505,0.279444 +/- 0.054436,8.213778982220482,1.5331097153449296,8.213779 +/- 1.533110,94.41795419552399,22.325932818622704,94.417954 +/- 22.325933,1.8612040203444309,0.2217882024166523,1.861204 +/- 0.221788,2.184472047938031,0.23015888314186642,2.184472 +/- 0.230159,0.4464901419906443,0.03295012100778644,0.446490 +/- 0.032950,0.9244765353740628,0.020387038401635534,0.924477 +/- 0.020387,0.7205555555555556,0.054436038134355505,0.720556 +/- 0.054436,1.0,0.0,1.000000 +/- 0.000000,0.819299726907317,0.03930688537957082,0.819300 +/- 0.039307,1.0000000000000002,1.0099894834855006e-16,1.000000 +/- 0.000000,1.0,0.0,1.000000 +/- 0.000000,6.536186979233298,0.11292938930437128,6.536187 +/- 0.112929,10232.0,0.0,10232.000000 +/- 0.000000,1.0051836747664695,0.1276856433972023,1.005184 +/- 0.127686,0.05696024810154326,0.04484410754097125,0.056960 +/- 0.044844
2.0,1.0,0.9476858050870121,0.12023543431709792,0.947686 +/- 0.120235,0.6685191384203454,0.06752110275967967,0.668519 +/- 0.067521,0.2791666666666666,0.05548247108502964,0.279167 +/- 0.055482,2.343519138420345,0.39533909411307333,2.343519 +/- 0.395339,94.11511878541786,23.43658063906681,94.115119 +/- 23.436581,1.8615762231590778,0.19919721776334853,1.861576 +/- 0.199197,2.1848442507526777,0.20785774849365535,2.184844 +/- 0.207858,0.44684852411443166,0.032121325491740994,0.446849 +/- 0.032121,0.9249168612740828,0.0195346231756093,0.924917 +/- 0.019535,0.7208333333333334,0.05548247108502964,0.720833 +/- 0.055482,1.0,0.0,1.000000 +/- 0.000000,0.8237832585406398,0.04032828314338428,0.823783 +/- 0.040328,1.0000000000000002,1.0909133250980695e-16,1.000000 +/- 0.000000,1.0,0.0,1.000000 +/- 0.000000,6.531520991766729,0.10646366987273598,6.531521 +/- 0.106464,10232.0,0.0,10232.000000 +/- 0.000000,0.9995250233551106,0.12269496802047805,0.999525 +/- 0.122695,0.05183921826809868,0.04361126487537859,0.051839 +/- 0.043611
2.0,2.0,0.948132206707596,0.11895074289499712,0.948132 +/- 0.118951,0.6689655400409292,0.06842391349658768,0.668966 +/- 0.068424,0.2791666666666667,0.05337058684547028,0.279167 +/- 0.053371,5.693965540040929,1.0230895672403424,5.693966 +/- 1.023090,95.51759208278403,24.43038601109589,95.517592 +/- 24.430386,1.8581704576495972,0.2126505911190518,1.858170 +/- 0.212651,2.181438485243197,0.2210540878217468,2.181438 +/- 0.221054,0.4471906294418436,0.032247650401081324,0.447191 +/- 0.032248,0.9247737020204263,0.020463429547115428,0.924774 +/- 0.020463,0.7208333333333332,0.053370586845470275,0.720833 +/- 0.053371,1.0,0.0,1.000000 +/- 0.000000,0.822762063910377,0.04405500327302923,0.822762 +/- 0.044055,1.0000000000000002,1.236979440058307e-16,1.000000 +/- 0.000000,1.0,0.0,1.000000 +/- 0.000000,6.534466018066693,0.11795333570229222,6.534466 +/- 0.117953,10232.0,0.0,10232.000000 +/- 0.000000,1.0002949238711514,0.12518372463203176,1.000295 +/- 0.125184,0.05216271716355528,0.04971811778538674,0.052163 +/- 0.049718
2.0,3.0,0.949966711055584,0.12138028088422287,0.949967 +/- 0.121380,0.6719111555000282,0.06898662021228602,0.671911 +/- 0.068987,0.2780555555555555,0.054425039547595595,0.278056 +/- 0.054425,15.68691115550003,3.0034718641884495,15.686911 +/- 3.003472,94.72514981927499,22.424490822616214,94.725150 +/- 22.424491,1.8657080773426342,0.22229971518424335,1.865708 +/- 0.222300,2.1889761049362333,0.2307267335065402,2.188976 +/- 0.230727,0.44634615716254705,0.03290943595357501,0.446346 +/- 0.032909,0.9247394955544439,0.02032413402768864,0.924739 +/- 0.020324,0.7219444444444446,0.05442503954759559,0.721944 +/- 0.054425,1.0,0.0,1.000000 +/- 0.000000,0.8230154520843205,0.04050779999417332,0.823015 +/- 0.040508,1.0,1.8439800764933338e-16,1.000000 +/- 0.000000,1.0,0.0,1.000000 +/- 0.000000,6.5199330777333975,0.10946502733477327,6.519933 +/- 0.109465,10232.0,0.0,10232.000000 +/- 0.000000,1.0069866013681714,0.12560587421809666,1.006987 +/- 0.125606,0.05701989031258771,0.04149350722551344,0.057020 +/- 0.041494
