task_number,run_id,seed,fitness,csr,runtime
20,1,20260701,0.8953437620577288,0.7333333333333333,2.2200532001443207
20,2,20260702,1.2412046384873276,0.5833333333333334,2.2979447999969125
20,3,20260703,0.8314215751337249,0.7833333333333333,2.6616445002146065
20,4,20260704,1.1165939891865913,0.6333333333333333,2.4426568998023868
20,5,20260705,1.036721855389772,0.6666666666666666,2.3094180999323726
20,6,20260706,0.8677609631408123,0.7333333333333333,2.3020701999776065
20,7,20260707,0.9763897338670484,0.6833333333333333,2.4616557001136243
20,8,20260708,0.9212818677332121,0.7333333333333333,2.473805300425738
20,9,20260709,1.0639947412992639,0.6333333333333333,2.2299812003038824
20,10,20260710,0.8071014518657484,0.7833333333333333,2.2617061003111303
40,1,20260701,1.0446757135753888,0.6583333333333333,4.389132299926132
40,2,20260702,1.1438881020789564,0.6416666666666667,4.265645300038159
40,3,20260703,0.8325582350792786,0.7666666666666667,4.307685399893671
40,4,20260704,0.9834965082764512,0.6916666666666667,4.3413471998646855
40,5,20260705,1.062268103982883,0.6833333333333333,4.476229500025511
40,6,20260706,0.8881636013405995,0.7416666666666667,4.328189800027758
40,7,20260707,0.914740705540313,0.725,4.424852100200951
40,8,20260708,0.971638570910573,0.6916666666666667,4.683286699932069
40,9,20260709,1.1595646500254881,0.6333333333333333,4.664204999804497
40,10,20260710,0.9508236945004847,0.7166666666666667,4.472021100111306
60,1,20260701,0.9528874683417117,0.7222222222222222,6.853367699775845
60,2,20260702,0.971696069652506,0.6777777777777778,7.05335639975965
60,3,20260703,1.07911707441957,0.6388888888888888,6.86878539994359
60,4,20260704,1.0221167562647973,0.6833333333333333,6.791877300012857
60,5,20260705,1.127767417403478,0.6277777777777778,6.790407199878246
60,6,20260706,0.9324997254221657,0.7222222222222222,6.788277800194919
60,7,20260707,0.8948784856201537,0.7222222222222222,6.818775999825448
60,8,20260708,1.2044991455038532,0.6,6.740707399789244
60,9,20260709,1.0635589988587069,0.6611111111111111,6.9334048996679485
60,10,20260710,0.9897289196161174,0.6722222222222223,6.7120495000854135
80,1,20260701,0.9391742212810947,0.6916666666666667,9.578055200167
80,2,20260702,0.996117902218645,0.7125,9.543417799752206
80,3,20260703,1.0040816220301447,0.6833333333333333,9.554823500104249
80,4,20260704,0.9699342808159748,0.6875,9.559873599559069
80,5,20260705,1.0671742858544557,0.65,9.54424920026213
80,6,20260706,0.945644796138625,0.7291666666666666,9.530722899828106
80,7,20260707,1.0275229147995195,0.6666666666666666,9.616148000117391
80,8,20260708,1.047809434638289,0.6625,9.39607230015099
80,9,20260709,1.060653998318875,0.6541666666666667,9.378151299897581
80,10,20260710,1.0985321821567084,0.6333333333333333,9.371304200030863
100,1,20260701,1.0146997834169404,0.6733333333333333,12.49766039988026
100,2,20260702,1.0232006539972014,0.67,12.383013099897653
100,3,20260703,1.0206796334008823,0.67,12.422177500091493
100,4,20260704,1.0767780698786091,0.6533333333333333,12.636818000115454
100,5,20260705,1.0834043000121665,0.66,12.376970999874175
100,6,20260706,0.9492300022118904,0.72,12.492327900137752
100,7,20260707,0.9872699523875448,0.7,12.684727400075644
100,8,20260708,1.0518643412403816,0.6533333333333333,12.557994100265205
100,9,20260709,0.951289049318232,0.7166666666666667,12.60827809991315
100,10,20260710,1.0344932539425677,0.6666666666666666,12.702260799705982
