task_number,run_id,seed,fitness,qoe,fairness,csr,hard_feasible,capacity_utilisation_mean,capacity_utilisation_max,assignment_unique,runtime,nfe
20,1,20260701,0.7653142490796654,0.49658983068691726,0.8868976229375026,0.8166666666666667,1,0.7443802019347449,1.0,1,3.4310289999999997,8892
20,2,20260702,0.7267357631860437,0.4847477356721878,0.9577631182192775,0.8166666666666667,1,0.7298744301648791,1.0,1,3.3670705420000004,8892
20,3,20260703,0.8409775858210652,0.48029708343034566,0.9190026287936683,0.7333333333333333,1,0.6448512932116106,1.0000000000000002,1,3.487699084,8892
20,4,20260704,0.9634015337503485,0.4504333012672803,0.8512044438332461,0.7166666666666667,1,0.7694680813918072,1.0,1,3.4396805829999995,8892
20,5,20260705,0.897199383465316,0.4603390265706143,0.9162745764868848,0.7333333333333333,1,0.6247492456912948,1.0,1,3.4448525409999995,8892
20,6,20260706,0.9887898909527192,0.44059771113900004,0.8766970183135666,0.7,1,0.8376389120652142,1.0,1,3.330174917000001,8892
20,7,20260707,0.9674292825677352,0.43947764790198596,0.9043878810526346,0.7166666666666667,1,0.7354796664988154,1.0,1,3.459167292,8892
20,8,20260708,0.9915925838958887,0.39773387219452144,0.9266503747815866,0.7333333333333333,1,0.6910339302246151,1.0,1,3.466000625000003,8892
20,9,20260709,0.7415471490915956,0.4862103734467461,0.939477789006622,0.8333333333333334,1,0.820331539095617,1.0,1,3.3719851660000018,8892
20,10,20260710,1.0900485279924887,0.4161735081954448,0.8735877242789885,0.65,1,0.7483970336233371,1.0,1,3.5014144579999957,8892
40,1,20260701,1.1085684341068993,0.4055901929117499,0.8981469852203793,0.65,1,0.8388950572562454,1.0000000000000002,1,6.6562803750000015,10232
40,2,20260702,1.042971259370508,0.4252411484102329,0.9438029302531645,0.6666666666666666,1,0.8642210038280658,1.0,1,6.542349707999996,10232
40,3,20260703,0.8308932791007381,0.47379251336756506,0.9356745123851102,0.775,1,0.7968452417119734,1.0000000000000002,1,6.639226458000003,10232
40,4,20260704,0.7792937629223804,0.4834352409538747,0.9357058092379048,0.8,1,0.8572469003486489,1.0000000000000002,1,6.48401775,10232
40,5,20260705,0.9383155996253233,0.43594562882667537,0.9277532731591402,0.7166666666666667,1,0.819792756438706,1.0000000000000002,1,6.726715208999998,10232
40,6,20260706,0.9967638101341301,0.4241327295155524,0.9287150965213892,0.7166666666666667,1,0.8235622549285625,1.0000000000000002,1,6.568113374999996,10232
40,7,20260707,1.1458476235507842,0.40845017014633916,0.9123796205695444,0.6416666666666667,1,0.7880416488185666,1.0,1,6.491373666999991,10232
40,8,20260708,1.024393291400052,0.42833013294355066,0.9359433004822649,0.675,1,0.8273141573584951,1.0000000000000002,1,6.817556500000009,10232
40,9,20260709,0.8998726704889334,0.45851898966178084,0.9454807093712666,0.7583333333333333,1,0.7772485003183004,1.0000000000000002,1,6.681892624999989,10232
40,10,20260710,1.0050386449966089,0.4303061930099098,0.9021348804980855,0.6833333333333333,1,0.867509119261818,1.0000000000000002,1,6.798931542000005,10232
60,1,20260701,1.0396391044294513,0.4303047141990636,0.9434674712156503,0.6833333333333333,1,0.9368929497999733,1.0000000000000002,1,10.443629708000003,11572
60,2,20260702,1.0087295916626546,0.44038338922300685,0.953914318858485,0.7055555555555556,1,0.9467054336449894,1.0000000000000002,1,10.292145833999996,11572
60,3,20260703,0.8222830343780616,0.4798558910517049,0.9713705363451598,0.7777777777777778,1,0.9463781132252607,1.0000000000000002,1,10.335355375000006,11572
60,4,20260704,0.9408237541602918,0.45814692712082367,0.9522366795111611,0.7111111111111111,1,0.979289295141616,1.0000000000000002,1,10.126922833999998,11572
60,5,20260705,1.0366805049452794,0.4204896181445345,0.9467381142050894,0.6833333333333333,1,0.9103116114738419,1.0000000000000002,1,10.424698666000012,11572
60,6,20260706,1.1443277548956983,0.4019528107197152,0.9341244621410895,0.6277777777777778,1,0.9050508145903273,1.0000000000000002,1,10.308759624999993,11572
60,7,20260707,0.9591564750437116,0.4511488671483824,0.9559604472325615,0.6944444444444444,1,0.9876448169995785,1.0000000000000002,1,10.470953166000015,11572
60,8,20260708,1.0960610153880168,0.4090448166047489,0.921117721115891,0.6666666666666666,1,0.8590590561523809,1.0000000000000002,1,10.42949812499998,11572
60,9,20260709,0.845634431888561,0.46807155130819394,0.9480261699947397,0.7833333333333333,1,0.8807946795061271,1.0000000000000002,1,10.281759249999993,11572
60,10,20260710,1.0885839483871875,0.4289311827620111,0.948131405675562,0.65,1,0.8848902646862682,1.0000000000000002,1,10.589108833000012,11572
80,1,20260701,1.0720601491829709,0.42980564690936285,0.9549115769420717,0.65,1,0.9855342045144456,1.0000000000000002,1,14.912184249999996,12912
80,2,20260702,1.0054407695832297,0.43634948463345974,0.954074670900785,0.6875,1,0.9648926016921768,1.0000000000000002,1,14.704481708999992,12912
80,3,20260703,0.9455742321876912,0.4518245209301141,0.9480605887333603,0.7333333333333333,1,0.9380725376909334,1.0000000000000002,1,14.816106582999993,12912
80,4,20260704,1.0535478467681534,0.4426544041312316,0.9417858126019492,0.6666666666666666,1,0.9128854576738831,1.0000000000000002,1,14.634174082999976,12912
80,5,20260705,1.0673518823065198,0.4273418740753242,0.9568426132144069,0.6625,1,0.9497771656389704,1.0000000000000002,1,14.637632249999967,12912
80,6,20260706,1.280535533201474,0.37112136889684316,0.9557134727175481,0.5916666666666667,1,0.9350601856638738,1.0000000000000002,1,14.754256499999997,12912
80,7,20260707,1.1141929764731748,0.41811141740388397,0.9489413134587155,0.6291666666666667,1,0.9281194657795316,1.0000000000000002,1,14.794776124999999,12912
80,8,20260708,1.0814344679253054,0.43712718371946546,0.9588849711713857,0.65,1,0.9039482759589693,1.0000000000000002,1,14.680804707999982,12912
80,9,20260709,0.9107975025983587,0.46493828495332434,0.9648894305168243,0.7166666666666667,1,0.940897420398846,1.0000000000000002,1,15.370267041999966,12912
80,10,20260710,1.058499498118045,0.4223834448919282,0.9706682916811801,0.6625,1,0.9466691529098197,1.0000000000000002,1,15.027213582999991,12912
100,1,20260701,1.2014140214353528,0.40070017846437256,0.9511489002266003,0.5966666666666667,1,0.9974828442762338,1.0000000000000002,1,20.09761683299996,14252
100,2,20260702,1.1098736006843635,0.4116751960477698,0.9753100340560666,0.6466666666666666,1,0.9675120476161048,1.0000000000000002,1,19.882486667000023,14252
100,3,20260703,0.9921019528378936,0.4542394914534037,0.9672457421203644,0.6933333333333334,1,0.9959687157206794,1.0000000000000002,1,19.92447316700003,14252
100,4,20260704,1.0992754023286824,0.42851622616766794,0.967889530333569,0.6533333333333333,1,0.9889651956771839,1.0000000000000002,1,19.452820290999966,14252
100,5,20260705,1.1715987715842504,0.4083098562223669,0.9762127032859572,0.6133333333333333,1,0.9908797112968998,1.0000000000000002,1,19.764651500000014,14252
100,6,20260706,1.2265167554428817,0.3962262046004707,0.9619920312100464,0.61,1,0.9470931982152195,1.0000000000000002,1,19.648915250000016,14252
100,7,20260707,1.182461567180944,0.39522782302063975,0.9711413968288054,0.61,1,0.9930458788606357,1.0000000000000002,1,19.529586208000012,14252
100,8,20260708,1.1290784291289886,0.42297044843478593,0.9378443272823193,0.63,1,0.9599118839338731,1.0000000000000002,1,19.759971250000035,14252
100,9,20260709,1.0681530279529254,0.43023878790152587,0.971308614585828,0.66,1,0.9846107953967471,1.0000000000000002,1,19.59267625000001,14252
100,10,20260710,1.1677510640894908,0.39548000561033775,0.9600013456613958,0.6166666666666667,1,0.9991032712828178,1.0000000000000002,1,20.065223375000073,14252
